BIAS,SOURCE,CONTRADITIONS,THEORY,EVIDENCE,OBSERVED,AUTHENTICITY_OF_KNOWLEGDE,TRUSTABLE
1,10,9,4,4,1,58,Lowly Trustable
2,8,10,4,1,7,64,Lowly Trustable
3,8,8,1,2,10,64,Lowly Trustable
4,1,9,1,1,8,48,Not Trustable
9,3,10,3,1,7,66,Lowly Trustable
2,3,7,5,3,3,46,Not Trustable
4,10,2,4,4,9,66,Lowly Trustable
3,2,3,4,2,10,48,Not Trustable
5,3,10,5,1,8,64,Lowly Trustable
4,6,4,5,2,10,62,Lowly Trustable
2,7,6,3,3,8,58,Lowly Trustable
8,8,10,1,5,7,78,Highly Trustable
2,1,6,5,3,2,38,Not Trustable
5,5,2,1,3,8,48,Not Trustable
7,1,8,2,4,9,62,Lowly Trustable
7,2,2,4,5,2,44,Not Trustable
6,1,4,4,4,7,52,Lowly Trustable
3,5,2,1,2,9,44,Not Trustable
5,9,6,1,2,5,56,Lowly Trustable
2,2,5,4,3,6,44,Not Trustable
7,5,6,3,5,8,68,Lowly Trustable
4,7,6,5,1,1,48,Not Trustable
6,4,5,4,1,5,50,Not Trustable
9,7,9,3,4,3,70,Lowly Trustable
7,5,2,5,5,2,52,Lowly Trustable
6,8,10,4,1,4,66,Lowly Trustable
3,1,9,2,2,9,52,Lowly Trustable
3,9,2,2,4,2,44,Not Trustable
3,7,10,4,4,2,60,Lowly Trustable
4,3,6,3,3,6,50,Not Trustable
2,2,8,4,1,9,52,Lowly Trustable
4,10,9,5,2,6,72,Highly Trustable
8,10,10,5,3,9,90,Highly Trustable
7,10,7,4,1,1,60,Lowly Trustable
6,8,4,2,2,2,48,Not Trustable
4,10,1,3,5,8,62,Lowly Trustable
10,2,8,2,2,7,62,Lowly Trustable
8,10,5,2,2,6,66,Lowly Trustable
6,2,7,4,4,7,60,Lowly Trustable
1,10,3,4,1,1,40,Not Trustable
4,3,2,5,1,8,46,Not Trustable
4,1,6,2,1,9,46,Not Trustable
4,7,10,3,1,2,54,Lowly Trustable
6,9,4,1,4,9,66,Lowly Trustable
2,3,3,5,2,7,44,Not Trustable
8,2,9,5,4,6,68,Lowly Trustable
1,7,10,1,5,10,68,Lowly Trustable
2,9,1,2,1,7,44,Not Trustable
10,1,2,1,2,7,46,Not Trustable
4,6,1,2,3,6,44,Not Trustable
5,5,6,4,2,1,46,Not Trustable
5,8,1,2,1,5,44,Not Trustable
1,8,9,2,5,6,62,Lowly Trustable
5,9,9,1,1,5,60,Lowly Trustable
2,9,9,2,3,7,64,Lowly Trustable
8,1,3,3,4,6,50,Not Trustable
2,6,3,1,4,8,48,Not Trustable
10,9,3,1,5,3,62,Lowly Trustable
8,6,9,3,1,8,70,Lowly Trustable
9,6,3,2,4,4,56,Lowly Trustable
1,7,10,5,3,3,58,Lowly Trustable
5,7,6,5,4,7,68,Lowly Trustable
4,6,5,5,2,3,50,Not Trustable
6,8,5,1,4,7,62,Lowly Trustable
1,6,9,3,2,8,58,Lowly Trustable
1,1,2,3,4,1,24,Not Trustable
2,9,3,2,2,8,52,Lowly Trustable
1,2,10,1,5,8,54,Lowly Trustable
5,9,5,3,4,2,56,Lowly Trustable
9,2,6,5,5,8,70,Lowly Trustable
3,8,9,3,1,10,68,Lowly Trustable
7,10,7,1,3,6,68,Lowly Trustable
3,4,3,5,4,9,56,Lowly Trustable
7,6,10,5,2,9,78,Highly Trustable
5,9,9,3,3,6,70,Lowly Trustable
3,2,1,5,5,8,48,Not Trustable
1,3,10,3,4,7,56,Lowly Trustable
10,7,8,5,3,10,86,Highly Trustable
7,8,9,5,4,5,76,Highly Trustable
7,8,2,3,3,2,50,Not Trustable
5,1,10,3,2,7,56,Lowly Trustable
6,8,1,2,1,3,42,Not Trustable
8,6,10,4,3,8,78,Highly Trustable
8,5,8,3,2,4,60,Lowly Trustable
10,4,4,5,1,10,68,Lowly Trustable
4,1,10,4,3,8,60,Lowly Trustable
2,10,2,2,2,9,54,Lowly Trustable
9,4,7,5,5,5,70,Lowly Trustable
4,7,1,5,4,7,56,Lowly Trustable
9,8,8,1,2,7,70,Lowly Trustable
8,2,5,1,2,6,48,Not Trustable
8,2,10,1,2,4,54,Lowly Trustable
2,9,3,5,2,1,44,Not Trustable
1,9,6,1,2,2,42,Not Trustable
4,8,2,3,3,2,44,Not Trustable
3,4,4,3,4,7,50,Not Trustable
1,8,1,1,4,5,40,Not Trustable
6,3,9,3,5,1,54,Lowly Trustable
4,5,2,2,3,8,48,Not Trustable
8,3,2,2,3,7,50,Not Trustable
6,6,3,5,2,3,50,Not Trustable
9,6,4,5,4,4,64,Lowly Trustable
3,3,3,1,2,9,42,Not Trustable
10,2,5,3,3,9,64,Lowly Trustable
2,1,3,1,5,9,42,Not Trustable
10,7,2,5,4,6,68,Lowly Trustable
5,7,2,4,4,10,64,Lowly Trustable
6,8,3,1,5,4,54,Lowly Trustable
5,10,5,3,1,10,68,Lowly Trustable
5,1,3,2,1,10,44,Not Trustable
8,3,4,4,5,8,64,Lowly Trustable
8,2,4,1,1,4,40,Not Trustable
7,3,4,2,1,1,36,Not Trustable
2,2,6,5,5,1,42,Not Trustable
1,10,1,2,5,8,54,Lowly Trustable
2,5,9,4,1,6,54,Lowly Trustable
10,1,3,4,2,6,52,Lowly Trustable
3,10,7,1,2,10,66,Lowly Trustable
2,2,2,3,5,8,44,Not Trustable
9,4,9,2,3,5,64,Lowly Trustable
9,6,2,5,2,3,54,Lowly Trustable
4,8,6,3,2,5,56,Lowly Trustable
6,1,5,4,5,6,54,Lowly Trustable
6,7,8,1,5,7,68,Lowly Trustable
1,3,6,5,1,2,36,Not Trustable
6,8,9,2,3,8,72,Highly Trustable
1,5,6,2,5,4,46,Not Trustable
1,7,10,2,5,2,54,Lowly Trustable
8,7,10,3,2,2,64,Lowly Trustable
2,6,2,5,5,10,60,Lowly Trustable
8,10,7,2,4,7,76,Highly Trustable
6,7,3,5,3,6,60,Lowly Trustable
2,10,4,3,2,9,60,Lowly Trustable
5,1,1,5,3,1,32,Not Trustable
8,4,6,2,1,10,62,Lowly Trustable
8,7,10,3,3,6,74,Highly Trustable
1,7,3,3,4,6,48,Not Trustable
8,2,6,2,5,5,56,Lowly Trustable
7,2,8,2,2,9,60,Lowly Trustable
2,1,2,3,3,10,42,Not Trustable
10,6,9,2,4,5,72,Highly Trustable
10,7,4,1,2,2,52,Lowly Trustable
6,3,8,2,1,7,54,Lowly Trustable
4,2,7,3,4,9,58,Lowly Trustable
5,2,8,5,4,4,56,Lowly Trustable
9,8,5,1,1,10,68,Lowly Trustable
3,7,2,4,5,1,44,Not Trustable
1,6,4,2,3,5,42,Not Trustable
10,2,10,1,4,2,58,Lowly Trustable
2,6,1,4,5,5,46,Not Trustable
6,6,7,1,5,7,64,Lowly Trustable
6,1,1,5,2,8,46,Not Trustable
2,3,8,5,1,10,58,Lowly Trustable
8,4,10,4,2,4,64,Lowly Trustable
9,7,1,3,1,8,58,Lowly Trustable
3,9,7,5,3,3,60,Lowly Trustable
3,1,4,1,1,6,32,Not Trustable
4,6,8,2,2,10,64,Lowly Trustable
3,2,9,5,4,1,48,Not Trustable
7,1,9,1,3,5,52,Lowly Trustable
10,5,2,2,3,2,48,Not Trustable
4,8,2,4,4,2,48,Not Trustable
5,1,3,2,4,10,50,Not Trustable
5,7,2,5,1,7,54,Lowly Trustable
7,2,8,2,4,6,58,Lowly Trustable
9,4,4,2,4,1,48,Not Trustable
4,3,8,2,5,6,56,Lowly Trustable
2,5,4,4,1,4,40,Not Trustable
4,1,7,3,3,10,56,Lowly Trustable
8,1,9,3,3,10,68,Lowly Trustable
6,8,8,5,1,4,64,Lowly Trustable
4,5,3,3,3,8,52,Lowly Trustable
2,8,7,2,3,1,46,Not Trustable
9,5,3,1,3,4,50,Not Trustable
6,5,5,2,4,4,52,Lowly Trustable
9,10,2,5,2,8,72,Highly Trustable
10,10,3,5,4,5,74,Highly Trustable
6,9,10,2,3,2,64,Lowly Trustable
2,4,3,1,2,4,32,Not Trustable
8,10,1,1,2,7,58,Lowly Trustable
6,10,7,2,1,4,60,Lowly Trustable
2,9,3,3,4,1,44,Not Trustable
10,3,2,1,5,5,52,Lowly Trustable
4,2,4,5,1,10,52,Lowly Trustable
3,1,4,3,4,8,46,Not Trustable
3,3,1,3,3,8,42,Not Trustable
1,2,7,4,4,1,38,Not Trustable
4,6,5,5,5,3,56,Lowly Trustable
5,10,3,4,1,9,64,Lowly Trustable
3,5,4,4,1,9,52,Lowly Trustable
8,2,7,5,3,6,62,Lowly Trustable
2,2,10,1,5,1,42,Not Trustable
9,8,9,3,1,5,70,Lowly Trustable
9,7,2,5,5,10,76,Highly Trustable
2,6,1,3,1,2,30,Not Trustable
8,7,8,3,1,6,66,Lowly Trustable
8,1,9,5,5,5,66,Lowly Trustable
10,1,1,2,5,8,54,Lowly Trustable
2,3,6,4,2,7,48,Not Trustable
5,10,8,1,2,9,70,Lowly Trustable
7,8,1,2,4,2,48,Not Trustable
9,3,10,5,1,4,64,Lowly Trustable
10,4,5,3,4,1,54,Lowly Trustable
5,6,3,3,1,1,38,Not Trustable
9,10,7,5,4,2,74,Highly Trustable
5,2,7,3,4,7,56,Lowly Trustable
7,4,7,4,2,8,64,Lowly Trustable
3,6,10,5,4,2,60,Lowly Trustable
10,8,1,1,4,5,58,Lowly Trustable
10,1,5,5,5,3,58,Lowly Trustable
3,9,1,5,3,10,62,Lowly Trustable
5,10,8,2,5,8,76,Highly Trustable
8,5,6,3,5,1,56,Lowly Trustable
3,6,8,1,4,1,46,Not Trustable
10,6,1,1,5,7,60,Lowly Trustable
10,9,9,1,5,2,72,Highly Trustable
6,9,10,3,1,2,62,Lowly Trustable
9,5,10,1,3,1,58,Lowly Trustable
9,3,8,1,5,4,60,Lowly Trustable
8,10,4,1,4,5,64,Lowly Trustable
5,1,6,4,4,8,56,Lowly Trustable
5,8,8,2,2,6,62,Lowly Trustable
1,8,1,4,5,5,48,Not Trustable
5,1,7,1,1,8,46,Not Trustable
2,6,2,2,1,5,36,Not Trustable
5,2,8,4,4,10,66,Lowly Trustable
2,1,5,1,5,9,46,Not Trustable
6,6,5,5,1,4,54,Lowly Trustable
1,2,2,5,3,10,46,Not Trustable
2,9,10,1,4,5,62,Lowly Trustable
10,1,3,4,2,1,42,Not Trustable
4,8,7,1,5,3,56,Lowly Trustable
6,7,6,5,3,4,62,Lowly Trustable
5,1,1,4,4,4,38,Not Trustable
6,5,10,2,1,10,68,Lowly Trustable
3,8,4,3,3,7,56,Lowly Trustable
3,7,2,2,4,2,40,Not Trustable
6,5,9,3,5,7,70,Lowly Trustable
9,2,10,1,4,4,60,Lowly Trustable
7,6,5,4,3,7,64,Lowly Trustable
1,7,2,1,1,10,44,Not Trustable
2,5,2,2,4,1,32,Not Trustable
5,4,10,4,3,8,68,Lowly Trustable
4,6,2,5,5,8,60,Lowly Trustable
3,6,10,3,5,2,58,Lowly Trustable
2,3,1,4,4,8,44,Not Trustable
10,2,3,3,1,10,58,Lowly Trustable
7,2,10,1,3,10,66,Lowly Trustable
7,2,3,1,4,9,52,Lowly Trustable
8,3,4,1,1,1,36,Not Trustable
7,2,2,5,3,10,58,Lowly Trustable
5,1,10,4,3,7,60,Lowly Trustable
2,5,7,5,2,9,60,Lowly Trustable
9,3,6,1,3,10,64,Lowly Trustable
6,7,9,5,3,8,76,Highly Trustable
4,2,8,3,5,1,46,Not Trustable
8,10,4,4,4,4,68,Lowly Trustable
4,2,3,1,5,6,42,Not Trustable
10,4,5,5,3,3,60,Lowly Trustable
7,6,1,1,1,3,38,Not Trustable
3,4,1,1,2,2,26,Not Trustable
8,1,8,5,4,6,64,Lowly Trustable
8,6,1,4,4,5,56,Lowly Trustable
10,9,10,1,4,7,82,Highly Trustable
8,10,6,2,4,5,70,Lowly Trustable
7,5,9,3,5,1,60,Lowly Trustable
5,7,2,3,2,6,50,Not Trustable
5,1,4,1,3,6,40,Not Trustable
1,7,4,3,4,1,40,Not Trustable
1,7,9,2,3,9,62,Lowly Trustable
6,9,8,3,3,7,72,Highly Trustable
3,6,9,2,4,6,60,Lowly Trustable
4,1,10,5,1,7,56,Lowly Trustable
7,7,8,2,1,7,64,Lowly Trustable
5,10,7,4,1,5,64,Lowly Trustable
2,7,9,4,2,5,58,Lowly Trustable
4,5,6,5,3,5,56,Lowly Trustable
7,9,6,1,2,4,58,Lowly Trustable
9,4,10,4,3,3,66,Lowly Trustable
9,8,3,5,4,5,68,Lowly Trustable
9,2,5,2,3,8,58,Lowly Trustable
2,3,8,5,5,10,66,Lowly Trustable
3,10,9,2,4,9,74,Highly Trustable
6,1,9,2,5,1,48,Not Trustable
2,7,6,4,2,2,46,Not Trustable
2,9,7,3,2,1,48,Not Trustable
5,4,2,2,5,8,52,Lowly Trustable
9,5,4,3,2,10,66,Lowly Trustable
7,4,8,1,2,3,50,Not Trustable
10,9,1,4,2,9,70,Lowly Trustable
1,4,3,2,4,5,38,Not Trustable
8,6,2,5,5,2,56,Lowly Trustable
3,10,1,4,5,4,54,Lowly Trustable
2,6,9,1,4,3,50,Not Trustable
5,2,2,2,3,9,46,Not Trustable
10,9,10,1,1,8,78,Highly Trustable
6,1,4,4,1,2,36,Not Trustable
6,4,10,2,5,2,58,Lowly Trustable
9,9,4,2,3,6,66,Lowly Trustable
8,1,8,2,1,9,58,Lowly Trustable
10,7,1,1,4,6,58,Lowly Trustable
2,2,7,5,2,2,40,Not Trustable
1,7,7,5,4,3,54,Lowly Trustable
4,4,5,5,1,4,46,Not Trustable
6,9,4,1,3,3,52,Lowly Trustable
8,6,1,5,1,1,44,Not Trustable
10,10,4,3,5,1,66,Lowly Trustable
4,4,10,4,4,9,70,Lowly Trustable
9,2,3,3,5,7,58,Lowly Trustable
4,6,5,5,2,6,56,Lowly Trustable
4,7,1,5,2,9,56,Lowly Trustable
3,10,5,2,2,3,50,Not Trustable
3,2,1,4,2,7,38,Not Trustable
9,9,3,3,1,9,68,Lowly Trustable
6,1,6,3,5,4,50,Not Trustable
10,10,5,3,1,9,76,Highly Trustable
6,4,7,5,2,9,66,Lowly Trustable
6,1,10,2,1,4,48,Not Trustable
2,8,1,1,3,2,34,Not Trustable
1,10,4,1,4,2,44,Not Trustable
5,5,5,2,5,5,54,Lowly Trustable
3,7,10,4,5,5,68,Lowly Trustable
7,8,5,1,5,4,60,Lowly Trustable
1,9,1,2,1,1,30,Not Trustable
4,1,8,2,5,9,58,Lowly Trustable
9,2,7,2,5,3,56,Lowly Trustable
10,5,10,1,3,3,64,Lowly Trustable
6,4,9,2,3,8,64,Lowly Trustable
9,3,6,3,5,6,64,Lowly Trustable
6,1,7,1,1,9,50,Not Trustable
7,5,8,4,3,3,60,Lowly Trustable
4,4,9,5,4,4,60,Lowly Trustable
1,4,7,2,2,5,42,Not Trustable
10,1,2,3,2,1,38,Not Trustable
7,9,3,3,4,6,64,Lowly Trustable
8,9,2,4,3,8,68,Lowly Trustable
9,5,5,5,5,5,68,Lowly Trustable
1,10,10,5,3,2,62,Lowly Trustable
4,6,6,5,2,7,60,Lowly Trustable
8,5,6,1,3,4,54,Lowly Trustable
1,10,9,2,1,7,60,Lowly Trustable
3,6,10,3,1,4,54,Lowly Trustable
9,1,7,4,1,4,52,Lowly Trustable
7,7,5,5,1,5,60,Lowly Trustable
1,5,8,1,3,4,44,Not Trustable
10,5,10,4,5,3,74,Highly Trustable
10,3,9,3,2,2,58,Lowly Trustable
9,7,5,1,2,5,58,Lowly Trustable
6,2,10,2,4,10,68,Lowly Trustable
8,9,5,1,2,3,56,Lowly Trustable
1,1,1,4,2,3,24,Not Trustable
6,3,8,5,4,1,54,Lowly Trustable
3,3,8,2,3,5,48,Not Trustable
2,7,2,1,2,10,48,Not Trustable
10,9,3,5,2,5,68,Lowly Trustable
2,2,1,5,5,2,34,Not Trustable
5,8,10,3,2,9,74,Highly Trustable
10,4,10,3,1,7,70,Lowly Trustable
6,2,8,2,3,6,54,Lowly Trustable
5,5,3,5,3,10,62,Lowly Trustable
3,6,3,2,5,3,44,Not Trustable
7,3,10,2,3,3,56,Lowly Trustable
1,3,10,5,3,3,50,Not Trustable
3,5,4,3,4,10,58,Lowly Trustable
8,6,1,1,5,5,52,Lowly Trustable
8,9,6,4,5,8,80,Highly Trustable
3,2,6,4,1,1,34,Not Trustable
3,3,1,1,1,7,32,Not Trustable
1,4,6,4,3,2,40,Not Trustable
9,2,6,5,3,9,68,Lowly Trustable
9,4,9,4,2,7,70,Lowly Trustable
8,10,1,3,3,4,58,Lowly Trustable
6,1,5,5,5,5,54,Lowly Trustable
7,7,5,2,5,6,64,Lowly Trustable
2,6,7,1,1,6,46,Not Trustable
8,5,1,1,2,10,54,Lowly Trustable
9,2,5,1,3,9,58,Lowly Trustable
4,8,8,2,4,1,54,Lowly Trustable
7,7,9,2,2,3,60,Lowly Trustable
1,7,3,2,3,7,46,Not Trustable
1,6,4,2,3,5,42,Not Trustable
7,1,7,4,5,4,56,Lowly Trustable
9,10,6,2,2,10,78,Highly Trustable
6,4,3,4,1,5,46,Not Trustable
2,2,6,2,3,9,48,Not Trustable
7,4,1,3,4,10,58,Lowly Trustable
4,5,10,3,5,7,68,Lowly Trustable
3,1,3,4,2,1,28,Not Trustable
10,7,7,3,2,3,64,Lowly Trustable
10,7,7,4,4,2,68,Lowly Trustable
3,5,7,5,5,7,64,Lowly Trustable
5,2,1,4,3,7,44,Not Trustable
5,8,5,5,5,4,64,Lowly Trustable
5,3,6,3,5,3,50,Not Trustable
3,7,5,5,1,9,60,Lowly Trustable
5,4,9,1,2,3,48,Not Trustable
6,10,8,2,3,2,62,Lowly Trustable
1,9,9,3,3,6,62,Lowly Trustable
4,6,2,3,5,4,48,Not Trustable
2,3,4,2,4,9,48,Not Trustable
3,2,5,2,3,8,46,Not Trustable
2,3,6,5,3,2,42,Not Trustable
9,7,5,5,5,4,70,Lowly Trustable
3,6,2,2,2,5,40,Not Trustable
1,7,6,4,2,7,54,Lowly Trustable
2,7,7,2,1,7,52,Lowly Trustable
1,4,3,4,4,8,48,Not Trustable
2,7,6,5,3,6,58,Lowly Trustable
10,3,7,5,2,7,68,Lowly Trustable
9,8,4,5,4,1,62,Lowly Trustable
5,2,3,1,5,3,38,Not Trustable
7,10,2,1,1,8,58,Lowly Trustable
3,7,1,5,3,4,46,Not Trustable
2,3,3,5,3,9,50,Not Trustable
8,2,1,4,5,6,52,Lowly Trustable
4,4,4,3,4,5,48,Not Trustable
5,4,6,2,5,6,56,Lowly Trustable
2,2,4,3,2,4,34,Not Trustable
7,3,7,5,1,2,50,Not Trustable
5,1,6,1,1,8,44,Not Trustable
2,3,8,1,2,7,46,Not Trustable
5,6,8,2,3,2,52,Lowly Trustable
4,10,8,2,3,9,72,Highly Trustable
4,1,2,4,2,10,46,Not Trustable
5,3,9,3,2,6,56,Lowly Trustable
4,6,6,3,4,5,56,Lowly Trustable
7,6,5,5,2,7,64,Lowly Trustable
4,3,8,2,1,9,54,Lowly Trustable
10,8,2,5,3,2,60,Lowly Trustable
7,4,8,2,1,7,58,Lowly Trustable
10,7,7,1,1,10,72,Highly Trustable
7,8,4,5,3,10,74,Highly Trustable
4,3,4,4,2,7,48,Not Trustable
5,6,3,2,3,9,56,Lowly Trustable
8,10,4,5,2,8,74,Highly Trustable
1,2,10,3,1,9,52,Lowly Trustable
2,9,4,5,5,5,60,Lowly Trustable
2,9,2,3,1,5,44,Not Trustable
2,6,2,2,2,1,30,Not Trustable
2,2,4,5,2,5,40,Not Trustable
5,8,1,4,5,2,50,Not Trustable
4,4,9,4,4,9,68,Lowly Trustable
3,4,3,5,3,1,38,Not Trustable
5,4,3,5,2,6,50,Not Trustable
2,10,1,5,2,8,56,Lowly Trustable
6,9,3,4,4,3,58,Lowly Trustable
5,3,4,5,1,10,56,Lowly Trustable
7,4,2,3,5,7,56,Lowly Trustable
10,3,3,4,5,10,70,Lowly Trustable
9,8,4,5,2,8,72,Highly Trustable
4,5,7,3,3,9,62,Lowly Trustable
2,7,2,2,2,3,36,Not Trustable
5,3,8,1,4,4,50,Not Trustable
4,9,3,4,3,8,62,Lowly Trustable
2,9,2,4,1,4,44,Not Trustable
6,1,1,3,1,7,38,Not Trustable
5,3,4,3,4,7,52,Lowly Trustable
5,3,1,3,1,6,38,Not Trustable
5,9,2,2,1,3,44,Not Trustable
8,1,3,3,3,7,50,Not Trustable
4,9,2,4,4,6,58,Lowly Trustable
7,9,2,3,1,7,58,Lowly Trustable
2,1,5,1,2,10,42,Not Trustable
1,2,6,2,4,10,50,Not Trustable
9,7,2,1,4,1,48,Not Trustable
5,3,6,1,1,8,48,Not Trustable
9,3,1,3,2,2,40,Not Trustable
9,7,8,1,2,8,70,Lowly Trustable
9,5,10,2,2,9,74,Highly Trustable
3,4,4,1,2,6,40,Not Trustable
3,5,3,5,5,1,44,Not Trustable
2,9,5,5,5,2,56,Lowly Trustable
8,2,5,4,5,3,54,Lowly Trustable
7,8,1,3,5,3,54,Lowly Trustable
10,7,3,5,5,3,66,Lowly Trustable
9,2,5,2,5,7,60,Lowly Trustable
9,1,8,5,4,5,64,Lowly Trustable
8,3,5,1,2,8,54,Lowly Trustable
4,4,4,1,3,7,46,Not Trustable
4,1,5,4,4,9,54,Lowly Trustable
2,3,3,4,4,9,50,Not Trustable
6,4,3,2,2,10,54,Lowly Trustable
2,2,10,2,3,7,52,Lowly Trustable
9,6,2,1,3,5,52,Lowly Trustable
5,4,10,1,5,3,56,Lowly Trustable
5,5,2,2,1,3,36,Not Trustable
4,2,4,2,4,6,44,Not Trustable
4,10,7,2,5,5,66,Lowly Trustable
10,5,4,5,4,1,58,Lowly Trustable
5,2,5,3,2,2,38,Not Trustable
4,4,3,4,3,4,44,Not Trustable
7,5,2,4,1,7,52,Lowly Trustable
9,5,10,4,5,1,68,Lowly Trustable
10,3,2,2,2,6,50,Not Trustable
8,1,8,1,2,4,48,Not Trustable
8,5,10,5,2,1,62,Lowly Trustable
4,10,8,5,3,10,80,Highly Trustable
9,4,5,4,2,3,54,Lowly Trustable
